stabf,g4,g3,g2,g1,p4,p3,p2,p1,tau4,tau3,tau2,tau1
unstable,0.9580339876027371,0.887444920638513,0.8595781057523451,0.6504564608872271,-1.7230863114883,-1.25739482958732,-0.782603630987543,3.7630847720631597,9.78075443222607,8.38102539191882,3.0798852042281095,2.9590600245599705
stable,0.7817599106531259,0.5621390505276751,0.8624140763529029,0.41344056837935,-1.25501199162931,-1.8727416855972099,-1.9400584270519299,5.06781210427845,1.36935735529605,3.04754072762177,4.90252411201167,9.3040972346785
unstable,0.10985324495242699,0.8394440154005881,0.766688656526962,0.163041039311334,-0.92049244093498,-1.27721014673295,-1.20745559234302,3.40515818001095,1.21451813833956,3.04647874898866,8.84842842134833,8.97170690932022
unstable,0.36271777426931,0.9293805228726609,0.976744082924302,0.44620890653732104,-0.9973736064806809,-1.9389441526466,-1.02747330413905,3.9637910632663305,2.3405629839679505,4.48664083058949,7.66959964406565,0.7164147762951211
unstable,0.8209234864816309,0.656946658473716,0.455449947148291,0.797109525792467,-0.554305007534195,-1.8459748544756103,-1.12553095451115,3.5258108165209596,9.85757326996638,4.94375930178099,7.60877161603408,3.1341115516134197
stable,0.46993104128302393,0.542883858522323,0.0779296721686504,0.261792854117035,-1.90213281847761,-0.670396827477973,-1.85713917685067,4.42966882280625,4.26778760341917,3.7840659093987994,9.10924671643764,6.99920870915215
unstable,0.376630279179848,0.40204595212267696,0.39797658011961795,0.17788956108924198,-0.574003776077751,-1.20882589139371,-0.614589561907959,2.39741922937942,8.81856192345691,6.929314438670209,3.76520418352323,6.710166367622651
unstable,0.38054447857505896,0.7327408942872541,0.6332035554330679,0.371384852592056,-1.2889804782894199,-1.1865169283661998,-0.7489977512476271,3.2244951579032497,7.87030742603241,5.7194000302001395,1.37912500228657,6.953511557825179
stable,0.482439411001001,0.164941118523114,0.250364217202032,0.269708270661235,-1.3927510255916598,-1.23820427574315,-1.41034431234687,4.04129961368168,3.73378749230253,1.47857287590383,4.00774746209312,4.689851927495839
unstable,0.116262822352385,0.7920394246406558,0.5444153158100039,0.376355980566834,-1.8785944672854498,-0.857637206946418,-1.9913633677871103,4.72759504201898,7.64161626330592,9.769855548700189,1.4138215917899901,9.84149648830214
